"Hugo_Symbol","Low","High","pval","or","ci.up","ci.low","adjPval"
"ADAMTS9",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"ADGRL3",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"AGL",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"AGRN",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"AHDC1",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"ALMS1",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"ARAF",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"ARHGAP31",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"ARHGAP5",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"ATP2B3",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"AUTS2",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"B4GALNT4",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"BICRA",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"BRWD3",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"CAB39L",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"CACNA1G",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"CAMSAP3",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"CCDC9B",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"CD93",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"CDH1",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"CENPC",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"CLCN4",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"COL19A1",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"COL4A2",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"COL6A3",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
