"Pesticide","SES_Variable","SES_P_value","Significant","N","N_SC","N_Time","Filters"
"XCLORANSULAMMETHYL","Poverty_150",0.0965257972108398,FALSE,698,49,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCLORANSULAMMETHYL","Unemployed",0.172825780617012,FALSE,698,49,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCLORANSULAMMETHYL","Working_class",0.910927151307434,FALSE,698,49,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","Education.index",0.547489063198693,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","Income",0.974425085744446,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","home_value",0.413454846929275,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","rent",0.252836068528726,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","Poverty_150",0.200570331705371,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","Unemployed",0.0592893014581166,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XCYPRODINIL","Working_class",0.497461078422437,FALSE,303,22,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","Education.index",0.765865050683626,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","Income",0.9635540369928,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","home_value",0.905127628315139,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","rent",0.158343291965727,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","Poverty_150",0.715944845240243,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","Unemployed",0.91271321448144,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFIPRONIL","Working_class",0.855420808793889,FALSE,752,55,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","Education.index",0.37513130133351,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","Income",0.402066342395443,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","home_value",0.672005465177665,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","rent",0.11680647539541,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","Poverty_150",0.91108512472661,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","Unemployed",0.365997753131799,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUFENACET","Working_class",0.901382607568871,FALSE,809,59,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","Education.index",0.80750750095062,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","Income",0.722882851843157,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","home_value",0.301992921475467,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","rent",0.24337832699191,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","Poverty_150",0.449077674028699,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","Unemployed",0.439205259836151,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUROXYPYR","Working_class",0.376990509151167,FALSE,340,28,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","Education.index",0.487177383117912,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","Income",0.462936937021707,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","home_value",0.734612600795562,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","rent",0.057951842082934,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","Poverty_150",0.54132847853095,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","Unemployed",0.254750621512925,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XISOXAFLUTOLE","Working_class",0.967633708378941,FALSE,716,54,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XDIFLUFENZOPYR","Education.index",0.0482960332765699,TRUE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
