"Pesticide1","Pesticide2","SES_Adjusted","Effect","P_value","Significant","Included_SES","N_obs","N_years","N_SC","Filter_Description"
"XACETOCHLOR","XPICLORAM","Income",0.388513164821483,0.00030144626105226,TRUE,"Income",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","home_value",0.34726540287503,0.00173432693811875,TRUE,"home_value",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","rent",0.314211033793186,0.00412140044640531,TRUE,"rent",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","Poverty_150",0.416549433770208,0.00119239278359427,TRUE,"Poverty_150",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","Unemployed",0.490793593140065,0.000258629551627315,TRUE,"Unemployed",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","Working_class",0.351979976605556,0.00119769555403221,TRUE,"Working_class",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","NULL",0.10008966677152,0.385503547969267,FALSE,"None",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","NULL+Pesti2",0.159499893268485,0.164995981534342,FALSE,"None",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","Education.index",0.165229268791356,0.135227196570057,FALSE,"Education.index",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","Income",0.179864951657868,0.123973534190117,FALSE,"Income",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","home_value",0.15373241085356,0.186897062963609,FALSE,"home_value",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","rent",0.155152569706074,0.179651131509048,FALSE,"rent",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","Poverty_150",0.217380853757764,0.0916332984854133,FALSE,"Poverty_150",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","Unemployed",0.343041954548174,0.0107382130103561,TRUE,"Unemployed",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","Working_class",0.154926480643531,0.183107388300613,FALSE,"Working_class",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XPROPARGITE","Combined_SES",0.343041954548174,0.0107382130103561,TRUE,"Unemployed",569,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","NULL",0.372761793324782,0.00152890305755422,TRUE,"None",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","NULL+Pesti2",0.299857723720614,0.0914671345257176,FALSE,"None",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","Education.index",0.240641699936229,0.174216233732155,FALSE,"Education.index",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","Income",0.335439244717302,0.0760400776858986,FALSE,"Income",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","home_value",0.332813054107238,0.104778069857102,FALSE,"home_value",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","rent",0.249165688588262,0.227893065966973,FALSE,"rent",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","Poverty_150",0.300246775046301,0.091946450186033,FALSE,"Poverty_150",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","Unemployed",0.353578652464574,0.0597700684731179,FALSE,"Unemployed",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XSIMAZINE","Working_class",0.281324223223125,0.147755330197522,FALSE,"Working_class",1285,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","NULL",0.446318666369056,0.000605259776759779,TRUE,"None",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","NULL+Pesti2",0.373977842980136,0.205279269731866,FALSE,"None",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","Education.index",0.42016622321255,0.153547138374011,FALSE,"Education.index",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","Income",0.449262977966804,0.135168631390707,FALSE,"Income",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","home_value",0.349346811232301,0.236970397437468,FALSE,"home_value",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","rent",0.407559200940728,0.165270682312973,FALSE,"rent",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","Poverty_150",0.423818383076557,0.157582350682701,FALSE,"Poverty_150",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","Unemployed",0.43076173545841,0.150083780124884,FALSE,"Unemployed",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","Working_class",0.374215095676748,0.205204659570328,FALSE,"Working_class",1042,17,79,"SC≥10|Top5%"
"XACETOCHLOR","XTEBUPIRIMPHOS","Combined_SES",0.419162551195449,0.15421828229791,FALSE,"Education.index, rent",1042,17,79,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","NULL",0.41401583201571,6.11014333352403e-05,TRUE,"None",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","NULL+Pesti2",0.486853432977557,0.0357427127848111,TRUE,"None",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","Education.index",0.475060609125316,0.0401670334542567,TRUE,"Education.index",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","Income",0.485259205027493,0.0365784562745733,TRUE,"Income",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","home_value",0.48935503375591,0.0355130641661569,TRUE,"home_value",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","rent",0.48564702450213,0.0363044170087782,TRUE,"rent",1526,19,101,"SC≥10|Top5%"
